date,source,server,low,q1,md,q3,high
2025-08-22,op-de8a-conflux,onion,60,150,190,270,450
2025-08-22,op-hk8a,onion,440,560,640,720,960
2025-08-22,op-hk8a-conflux,onion,450,560,620,700,890
2025-08-22,op-us8a,onion,220,330,370,450,630
2025-08-22,op-us8a-conflux,onion,230,330,380,450,630
2025-08-23,op-de8a,onion,70,140,190,290,510
2025-08-23,op-de8a-conflux,onion,80,160,200,270,430
2025-08-23,op-hk8a,onion,430,550,630,730,1000
2025-08-23,op-hk8a-conflux,onion,460,600,650,730,920
2025-08-23,op-us8a,onion,240,310,360,440,630
2025-08-23,op-us8a-conflux,onion,230,330,390,470,680
2025-08-24,op-de8a,onion,70,150,190,280,470
2025-08-24,op-de8a-conflux,onion,100,170,220,320,540
2025-08-24,op-hk8a,onion,430,540,630,710,960
2025-08-24,op-hk8a-conflux,onion,440,570,640,747,1010
2025-08-24,op-us8a,onion,230,310,350,460,680
2025-08-24,op-us8a-conflux,onion,240,340,400,480,690
2025-08-25,op-de8a,onion,70,160,200,300,510
2025-08-25,op-de8a-conflux,onion,60,160,200,280,450
2025-08-25,op-hk8a,onion,430,560,640,720,960
2025-08-25,op-hk8a-conflux,onion,440,570,640,720,940
2025-08-25,op-us8a,onion,230,320,360,450,640
2025-08-25,op-us8a-conflux,onion,220,320,380,460,670
2025-08-26,op-de8a,onion,80,160,200,280,460
2025-08-26,op-de8a-conflux,onion,80,160,200,290,480
2025-08-26,op-hk8a,onion,430,550,620,700,920
2025-08-26,op-hk8a-conflux,onion,450,595,670,750,980
2025-08-26,op-us8a,onion,260,330,370,460,650
2025-08-26,op-us8a-conflux,onion,240,320,380,480,720
2025-08-27,op-de8a,onion,80,160,210,280,460
2025-08-27,op-de8a-conflux,onion,90,160,210,290,480
2025-08-27,op-hk8a,onion,440,550,620,732,990
2025-08-27,op-hk8a-conflux,onion,450,560,620,710,930
2025-08-27,op-us8a,onion,230,330,380,460,650
2025-08-27,op-us8a-conflux,onion,230,320,370,460,670
2025-08-28,op-de8a,onion,70,160,200,287,470
2025-08-28,op-de8a-conflux,onion,70,170,240,340,590
2025-08-28,op-hk8a,onion,460,550,620,700,910
2025-08-28,op-hk8a-conflux,onion,440,550,630,730,1000
2025-08-28,op-us8a,onion,230,330,370,450,630
2025-08-28,op-us8a-conflux,onion,230,310,380,470,710
2025-08-29,op-de8a,onion,60,150,190,270,450
2025-08-29,op-de8a-conflux,onion,70,160,220,300,510
2025-08-29,op-hk8a,onion,430,550,610,690,900
2025-08-29,op-hk8a-conflux,onion,440,570,640,730,970
2025-08-29,op-us8a,onion,240,330,370,440,600
2025-08-29,op-us8a-conflux,onion,230,340,400,480,690
2025-08-30,op-de8a,onion,70,140,200,260,440
2025-08-30,op-de8a-conflux,onion,70,170,250,330,570
2025-08-30,op-hk8a,onion,430,530,600,700,950
2025-08-30,op-hk8a-conflux,onion,440,560,640,720,960
2025-08-30,op-us8a,onion,240,330,370,450,630
2025-08-30,op-us8a-conflux,onion,230,320,370,470,690
2025-08-31,op-de8a,onion,70,160,200,270,430
2025-08-31,op-de8a-conflux,onion,50,160,230,320,560
2025-08-31,op-hk8a,onion,430,530,600,690,930
2025-08-31,op-hk8a-conflux,onion,440,550,630,740,1020
2025-08-31,op-us8a,onion,220,330,370,437,590
2025-08-31,op-us8a-conflux,onion,230,330,390,470,670
2025-09-01,op-de8a,onion,80,150,210,290,490
2025-09-01,op-de8a-conflux,onion,90,150,240,300,520
2025-09-01,op-hk8a,onion,430,510,580,670,890
2025-09-01,op-hk8a-conflux,onion,440,540,600,690,910
2025-09-01,op-us8a,onion,240,310,360,420,580
2025-09-01,op-us8a-conflux,onion,250,330,370,460,640
2025-09-02,op-de8a,onion,60,160,210,310,530
