date,source,server,low,q1,md,q3,high
2025-10-26,op-de8a,onion,50,130,165,230,380
2025-10-26,op-de8a-conflux,onion,60,140,190,272,470
2025-10-26,op-hk8a,onion,430,570,650,740,970
2025-10-26,op-hk8a-conflux,onion,450,580,660,770,1050
2025-10-26,op-us8a,onion,240,320,360,430,590
2025-10-26,op-us8a-conflux,onion,230,320,360,430,590
2025-10-27,op-de8a,onion,60,130,160,200,300
2025-10-27,op-de8a-conflux,onion,80,150,180,240,370
2025-10-27,op-hk8a,onion,440,582,640,757,1020
2025-10-27,op-hk8a-conflux,onion,470,580,630,730,940
2025-10-27,op-us8a,onion,230,320,360,430,590
2025-10-27,op-us8a-conflux,onion,230,330,370,430,580
2025-10-28,op-de8a,onion,70,130,170,240,400
2025-10-28,op-de8a-conflux,onion,70,160,190,240,360
2025-10-28,op-hk8a,onion,470,570,660,780,1080
2025-10-28,op-hk8a-conflux,onion,420,580,650,750,1000
2025-10-28,op-us8a,onion,220,310,360,430,610
2025-10-28,op-us8a-conflux,onion,250,330,380,440,600
2025-10-29,op-de8a,onion,80,140,180,250,410
2025-10-29,op-de8a-conflux,onion,60,140,180,220,340
2025-10-29,op-hk8a,onion,460,600,680,790,1070
2025-10-29,op-hk8a-conflux,onion,450,560,650,775,1060
2025-10-29,op-us8a,onion,220,320,360,430,590
2025-10-29,op-us8a-conflux,onion,250,340,380,460,640
2025-10-30,op-de8a,onion,70,140,170,220,340
2025-10-30,op-de8a-conflux,onion,60,140,180,255,420
2025-10-30,op-hk8a,onion,490,610,700,800,1080
2025-10-30,op-hk8a-conflux,onion,450,580,650,760,1030
2025-10-30,op-us8a,onion,240,320,350,410,540
2025-10-30,op-us8a-conflux,onion,230,330,370,430,580
2025-10-31,op-de8a,onion,80,140,170,210,310
2025-10-31,op-de8a-conflux,onion,70,150,190,230,350
2025-10-31,op-hk8a,onion,450,600,680,757,990
2025-10-31,op-hk8a-conflux,onion,430,580,650,760,1020
2025-10-31,op-us8a,onion,240,310,340,400,530
2025-10-31,op-us8a-conflux,onion,240,340,380,440,590
2025-11-01,op-de8a,onion,70,140,170,230,360
2025-11-01,op-de8a-conflux,onion,60,160,200,290,470
2025-11-01,op-hk8a,onion,490,620,700,770,990
2025-11-01,op-hk8a-conflux,onion,440,590,650,750,990
2025-11-01,op-us8a,onion,220,310,350,410,560
2025-11-01,op-us8a-conflux,onion,230,320,360,432,600
